id,name,namealt,nameloc,namelocalt,langloc,type,typeloc,iso3,area,daterec,datelast,srcgeom,note
"8",Dashte-Nawar Waterfowl Sanctuary,Dasht e Hamar Waterfowl Sanctuary,,,pus,Waterfowl Sanctuary,,AFG,,,2022-08-27,pad-afghanistan,
"13",Kole Hashmat Khan Waterfowl Sanctuary,Kole Hash Waterfowl Sanctuary,کول حشمت‌ خان,,pus,Waterfowl Sanctuary,,AFG,,"2017",2022-08-27,pad-afghanistan,
"5",Band-e Amir National Park,Band e Amir National Park,بند امیر,,pus,National Park,,AFG,,2009-04-22,2022-08-27,pad-afghanistan,
"14",Northwest Afghanistan Game Managed Reserve,,,,pus,Game Managed Reserve,,AFG,,,2022-08-27,pad-afghanistan,
"2",Ajar Valley Nature Reserve,,,,pus,Nature Reserve,,AFG,,"1981",2022-08-27,pad-afghanistan,
"17",Registan Desert Wildlife Managed Reserve,,,,pus,Wildlife Managed Reserve,,AFG,,,2022-08-27,pad-afghanistan,
"9",Hamun-i-Puzak Waterfowl Sanctuary,Hamum i Puzak Waterfowl Sanctuary,,,pus,Waterfowl Sanctuary,,AFG,,,2022-08-27,pad-afghanistan,
"16",Pamir-i-Buzurg Wildlife Reserve,Pamir i Buzurg Wildlife Reserve,,,pus,Wildlife Reserve,,AFG,,,2022-08-27,pad-afghanistan,
"6",Big Pamir Wildlife Reserve,,,,pus,Wildlife Reserve,,AFG,,,2022-08-27,pad-afghanistan,Unable to confirm type.
"18",Waghjir Valley Wildlife Reserve,,,,pus,Wildlife Reserve,,AFG,,,2022-08-27,pad-afghanistan,Unable to confirm type.
"3",Bamiyan National Heritage Park,,,,pus,National Heritage Park,,AFG,,,2022-08-27,pad-afghanistan,
"7",Darqad Wildlife Reserve,"Dardad Wildlife Reserve; Darqad (Takhar) Wildlife Reserve",,,pus,Wildlife Reserve,,AFG,,,2022-08-27,pad-afghanistan,
"10",Imam Sahib (Kunduz) Wildlife Reserve,"Imam Sahib Wildlife Reserve; Imam Sahib (Kunduz) Wildlife Reserve",,,pus,Wildlife Reserve,,AFG,,,2022-08-27,pad-afghanistan,
"15",Nuristan Nature Reserve,,,,pus,National Park and Wildlife Reserve,,AFG,,,2022-08-27,pad-afghanistan,
"1",Aab-i-Estada Nature Reserve,Ab i Estada Nature Reserve,آب ایستاده,,pus,Nature Reserve,,AFG,,,2022-08-27,pad-afghanistan,
"20",Zadran National Reserve,,,,pus,National Reserve,,AFG,,,2022-08-27,pad-afghanistan,
"4",Bamiyan Plateau Protected Landscape,,,,pus,Protected Landscape,,AFG,,2019-11,2022-08-27,pad-afghanistan,
"11",Khulm Landmark Protected Area,,,,pus,Protected Area,,AFG,,,2022-08-27,pad-afghanistan,
"12",Koh-e Baba (Shah Foladi) Protected Landscape,,,,pus,Protected Landscape,,AFG,,,2022-08-27,pad-afghanistan,
"19",Wakhan National Park,,,,pus,National Park,,AFG,,2014-03-30,2022-08-27,pad-afghanistan,
